user_id,exposed_date,expose_cnt,watch_cnt,watch_time_sum,watch_rate_avg,like_cnt,click_cnt,comment_cnt,follow_cnt,collect_cnt,forward_cnt,hate_cnt,like_rate,click_rate,comment_rate,follow_rate,collect_rate,forward_rate,hate_rate
1,20220919,6,6,666,0.9910714285714287,0,6,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,20220921,6,6,822,1.0,0,6,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,20220916,30,30,470,0.35370444984015237,0,18,0,0,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
2,20220917,18,12,84,0.8187134502923977,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20220918,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20220919,13,13,717,0.3283979719324887,0,5,0,0,0,0,0,0.0,0.3846,0.0,0.0,0.0,0.0,0.0
2,20220920,46,46,283,0.16220720846246814,0,7,0,0,0,0,0,0.0,0.1522,0.0,0.0,0.0,0.0,0.0
2,20220921,64,64,1399,0.4375814644755762,0,39,0,0,0,0,0,0.0,0.6094,0.0,0.0,0.0,0.0,0.0
2,20220922,37,37,1293,0.6045302455297861,0,20,0,0,0,0,0,0.0,0.5405,0.0,0.0,0.0,0.0,0.0
3,20220916,5,5,150,0.8371137846781925,0,4,0,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
3,20220917,49,49,405,0.49594939472761423,0,38,0,0,0,0,0,0.0,0.7755,0.0,0.0,0.0,0.0,0.0
3,20220918,59,53,1716,0.6266626480699834,0,35,0,0,0,0,0,0.0,0.5932,0.0,0.0,0.0,0.0,0.0
3,20220919,41,40,1714,0.603940352247381,0,27,0,0,0,0,0,0.0,0.6585,0.0,0.0,0.0,0.0,0.0
3,20220920,11,11,437,0.7750002277596993,0,10,0,0,0,0,0,0.0,0.9091,0.0,0.0,0.0,0.0,0.0
3,20220921,12,12,704,0.9402271227970974,0,12,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,20220922,13,13,343,0.9779157750164329,4,13,0,0,0,0,0,0.3077,1.0,0.0,0.0,0.0,0.0,0.0
4,20220918,20,20,734,0.6354954236929095,0,20,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,20220919,12,12,336,0.09249593678563406,0,12,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,20220916,64,64,5256,0.46560413124011113,0,42,0,0,0,0,0,0.0,0.6562,0.0,0.0,0.0,0.0,0.0
5,20220919,3,3,21,0.04011852157516778,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20220920,6,6,516,1.0,0,6,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,20220922,6,3,120,0.3335195484145314,0,3,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
6,20220916,21,18,48,0.02579487759948133,0,6,0,0,0,0,0,0.0,0.2857,0.0,0.0,0.0,0.0,0.0
6,20220919,20,20,144,0.035229935643601426,0,6,0,0,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
8,20220915,19,19,563,0.29450751553457005,0,17,0,0,0,0,0,0.0,0.8947,0.0,0.0,0.0,0.0,0.0
8,20220916,24,24,939,0.6005803902880195,0,24,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,20220917,74,65,5252,0.5514206773875293,0,53,0,0,0,0,0,0.0,0.7162,0.0,0.0,0.0,0.0,0.0
8,20220918,29,24,1201,0.7428448471616527,0,24,0,0,0,0,0,0.0,0.8276,0.0,0.0,0.0,0.0,0.0
8,20220919,54,54,2255,0.33888679406363953,0,31,0,0,0,0,0,0.0,0.5741,0.0,0.0,0.0,0.0,0.0
8,20220920,15,15,100,0.056023336801303336,0,6,0,0,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
8,20220921,24,24,708,0.5082300232931156,0,24,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,20220922,9,9,489,0.3384777036559754,0,3,0,0,0,0,0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0
9,20220916,6,6,24,0.034300610550867805,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,20220917,24,24,2441,0.9664247209134512,0,24,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,20220919,6,6,15,0.0446126015544752,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,20220920,2,2,4,0.006716683570320318,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20220916,9,9,138,1.0,0,9,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,20220917,34,34,1292,0.4953023606642238,0,28,0,0,0,0,0,0.0,0.8235,0.0,0.0,0.0,0.0,0.0
10,20220919,26,20,632,0.4947315071862559,0,18,0,0,0,0,0,0.0,0.6923,0.0,0.0,0.0,0.0,0.0
10,20220921,1,1,99,0.3601309567115315,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,20220920,12,12,1068,0.3037895182376112,0,12,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,20220921,8,8,16,0.10296540362438221,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,20220922,5,5,29,0.021286868105329853,0,2,0,0,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
12,20220922,12,6,258,0.1430158381725902,0,6,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
13,20220915,12,12,1560,1.0,0,12,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,20220916,3,3,525,1.0,0,3,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,20220917,15,15,126,0.0558972612237396,0,6,0,0,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
13,20220918,9,9,1656,1.0,0,9,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,20220921,2,2,18,0.36487472634395524,0,2,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,20220922,21,21,363,0.41141484033149345,0,21,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,20220916,20,20,956,0.6615748515603689,0,18,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
14,20220917,35,35,1081,0.5701562428958261,0,30,0,0,0,0,0,0.0,0.8571,0.0,0.0,0.0,0.0,0.0
14,20220919,3,3,21,0.10076872138888088,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,20220920,6,6,636,0.9464285714285713,0,6,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,20220921,14,14,187,0.604729554777104,0,14,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
